"RCD","Symbol_or_reported_abbr","HGNC_ID","ENSG_stable","Dependence","Evidence","Exp_organism","Pathway","Confidence","Experiments","Caution","UniProtAC","PMID","Remark","Latest_update","Data_source","Gene_type_hgnc_locus_type_or_other"
"Ferroptosis","TP53","HGNC:11998","ENSG00000141510","_NA_","Incubation with erastin led to profound cell death in wild-type MEFs.","Human, mice","TP53 :-: SLC7A11, SLC7A11 :-: Ferroptosis","Validated",0,"_NA_","P04637","27034505","p53 in article",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","GLS2","HGNC:29570","ENSG00000135423","_NA_","Upregulated in erastin-treated wild-type MEFs, and silencing Gls2 exihibits cell death defect in wild-type MEFs treated with erastin.","Mice","GLS2 :+: Ferroptosis","Validated",0,"_NA_","Q9UI32","27034505","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ATG5","HGNC:589","ENSG00000057663","_NA_","Knockout or knockdown limited erastin-induced ferroptosis.","Human, mice","ATG5 :+: Ferroptosis","Validated",0,"_NA_","Q9H1Y0","27245739","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ATG7","HGNC:16935","ENSG00000197548","_NA_","Knockout or knockdown limited erastin-induced ferroptosis.","Human, mice","ATG7 :+: Ferroptosis","Validated",0,"_NA_","O95352","27245739","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","NCOA4","HGNC:7671","ENSG00000266412","_NA_","Inhibition suppressed ferroptosis, and overexpression promoted ferroptosis.","Human","NCOA4 :-: FTH1, FTH1 :-: Ferroptosis","Validated",0,"_NA_","Q13772","27245739","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","TF","HGNC:11740","ENSG00000091513","_NA_","Involved in siramesine and lapatinib-induced ferroptotic cell death. Increased following treatment with lapatinib alone or in combination with siramesine. Knocking down of transferrin resulted in decreased cell death and ROS after treatment.","Human","TF :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Validated",0,"Recognized as a suppressor in other studies.","P02787","27441659","Transferrin in article",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ALOX5","HGNC:435","ENSG00000012779","_NA_","Silencing ALOX genes made cells resistant to ferroptosis.","Human","ALOX5 :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis","Validated",0,"_NA_","P09917","27506793","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ALOX12","HGNC:429","ENSG00000108839","_NA_","Silencing ALOX genes made cells resistant to ferroptosis.","Human","ALOX12 :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis","Validated",0,"_NA_","P18054","27506793","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ALOX12B","HGNC:430","ENSG00000179477","_NA_","Silencing ALOX genes made cells resistant to ferroptosis.","Human","ALOX12B :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis","Validated",0,"_NA_","O75342","27506793","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ALOX15","HGNC:433","ENSG00000161905","_NA_","Silencing ALOX genes made cells resistant to ferroptosis.","Human","ALOX15 :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis","Validated",0,"_NA_","P16050","27506793","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ALOX15B","HGNC:434","ENSG00000179593","_NA_","Silencing ALOX genes made cells resistant to ferroptosis. Erastin-induced cell death was rescued by silencing either ALOX15B or ALOXE3, which supported the hypothesis that lipoxygenases are required for ferroptosis.","Human","ALOX15B :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis","Validated",0,"_NA_","O15296","27506793","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ALOXE3","HGNC:13743","ENSG00000179148","_NA_","Silencing ALOX genes made cells resistant to ferroptosis. Erastin-induced cell death was rescued by silencing either ALOX15B or ALOXE3, which supported the hypothesis that lipoxygenases are required for ferroptosis.","Human","ALOXE3 :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis","Validated",0,"_NA_","Q9BYJ1","27506793","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","PHKG2","HGNC:8931","ENSG00000156873","_NA_","U-2-OS cells became resistant to erastin upon PHKG2 silencing. Erastin-treated HT-1080 cells were rescued by shPHKG2.","Human","PHKG2 :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis","Validated",0,"_NA_","P15735","27506793","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","TFRC","HGNC:11763","ENSG00000072274","_NA_","The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis.","Mice","TFRC :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Screened",0,"_NA_","P02786","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ACO1","HGNC:117","ENSG00000122729","_NA_","The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis.","Mice","ACO1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Screened",0,"_NA_","P21399","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","IREB2","HGNC:6115","ENSG00000136381","_NA_","The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis.","Mice","IREB2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Screened",0,"_NA_","P48200","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","SLC38A1","HGNC:13447","ENSG00000111371","_NA_","The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis.","Mice","SLC38A1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Screened",0,"_NA_","Q9H2H9","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","GLS2","HGNC:29570","ENSG00000135423","_NA_","The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis.","Mice","GLS2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Screened",0,"_NA_","Q9UI32","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","G6PDX","_NA_","_NA_","_NA_","The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis.","Mice","G6PDX :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Screened",0,"_NA_","_NA_","27514700","Not found in HGNC",2020-12-31,"FerrDb team","unknown"
"Ferroptosis","ULK1","HGNC:12558","ENSG00000177169","_NA_","Potential positive regulators of ferroptosis. Knockout of ULK1 led to significantly lower levels of erastin-induced ferroptosis in a dose- and time-dependent manner.","Mice","ULK1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Validated",0,"_NA_","O75385","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ATG3","HGNC:20962","ENSG00000144848","_NA_","Potential positive regulators of ferroptosis. Knockout of ATG3 greatly reduced the sensitivity of MEFs to ferropotosis, and reconstituting ATG3 back to these cells restored the ferroptosis sensitivity.","Mice","ATG3 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Validated",0,"_NA_","Q9NT62","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ATG4D","HGNC:20789","ENSG00000130734","_NA_","Potential positive regulators of ferroptosis.","Mice","ATG4D :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Screened",0,"_NA_","Q86TL0","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ATG5","HGNC:589","ENSG00000057663","_NA_","Potential positive regulators of ferroptosis. Knockout of ATG5 led to significantly lower levels of erastin-induced ferroptosis in a dose- and time-dependent manner.","Mice","ATG5 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Validated",0,"_NA_","Q9H1Y0","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","BECN1","HGNC:1034","ENSG00000126581","_NA_","Potential positive regulators of ferroptosis.","Mice","BECN1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Screened",0,"_NA_","Q14457","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","MAP1LC3A","HGNC:6838","ENSG00000101460","_NA_","Potential positive regulators of ferroptosis.","Mice","MAP1LC3A :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Screened",0,"_NA_","Q9H492","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","GABARAPL2","HGNC:13291","ENSG00000034713","_NA_","Potential positive regulators of ferroptosis.","Mice","GABARAPL2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Screened",0,"_NA_","P60520","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","GABARAPL1","HGNC:4068","ENSG00000139112","_NA_","Potential positive regulators of ferroptosis.","Mice","GABARAPL1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Screened",0,"_NA_","Q9H0R8","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ATG16L1","HGNC:21498","ENSG00000085978","_NA_","Potential positive regulators of ferroptosis.","Mice","ATG16L1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Screened",0,"_NA_","Q676U5","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","WIPI1","HGNC:25471","ENSG00000070540","_NA_","Potential positive regulators of ferroptosis.","Mice","WIPI1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Screened",0,"_NA_","Q5MNZ9","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","WIPI2","HGNC:32225","ENSG00000157954","_NA_","Potential positive regulators of ferroptosis.","Mice","WIPI2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Screened",0,"_NA_","Q9Y4P8","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","SNX4","HGNC:11175","ENSG00000114520","_NA_","Potential positive regulators of ferroptosis.","Mice","SNX4 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Screened",0,"_NA_","O95219","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ATG13","HGNC:29091","ENSG00000175224","_NA_","Knockout of ATG13 greatly reduced the sensitivity of MEFs to ferropotosis, and reconstituting ATG13 back to these cells restored the ferroptosis sensitivity.","Mice","ATG13 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Validated",0,"_NA_","O75143","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ULK2","HGNC:13480","ENSG00000083290","_NA_","Knockout of ULK2 led to significantly lower levels of erastin-induced ferroptosis in a dose- and time-dependent manner.","Mice","ULK2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Validated",0,"_NA_","Q8IYT8","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","NCOA4","HGNC:7671","ENSG00000266412","_NA_","Elimination of NCOA4 expression by RNAi knockdown significantly block ferroptosis","Human, mice","NCOA4 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Validated",0,"_NA_","Q13772","27514700","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ACSL4","HGNC:3571","ENSG00000068366","_NA_","Knockdown inhibited erastin-induced ferroptosis, whereas overexpression restored ferroptosis sensitization.","Human","ACSL4 :+: 5-HETE, 5-HETE :+: Ferroptosis","Validated",0,"_NA_","O60488","27565726","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","TP53","HGNC:11998","ENSG00000141510","_NA_","p53 acetylation has a critical role in ferroptotic responses. Simultaneous loss of K98/117/161/162 acetylations is unable to induce ferroptosis, and its ability to thwart cancer growth is also abrogated.","Human, mice","TP53 :-: SLC7A11, SLC7A11 :-: Ferroptosis","Validated",0,"_NA_","P04637","27705786","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","SAT1","HGNC:10540","ENSG00000130066","_NA_","p53-mediated activation of SAT1 contributes to ferroptotic cell death in the presence of ROS stress. Knockdown of Sat1 partially rescued ROS-induced ferroptosis.","Human, mice","SAT1 :+: ALOX15, ALOX15 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Validated",0,"Activated by p53.","P21673","27698118","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ALOX15","HGNC:433","ENSG00000161905","_NA_","SAT1- and ROS-induced ferroptosis was completely abrogated by PD146176, an ALOX15-specific inhibitor.","Human","ALOX15 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Validated",0,"_NA_","P16050","27698118","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ACSL4","HGNC:3571","ENSG00000068366","_NA_","Inhibition of ACSL4 was effective in protecting against RSL3-induced cell death. Acsl4 KO cells are resistant to ferroptosis.","Mice","ACSL4 :+: PE, PE :+: Ferroptosis","Validated",0,"_NA_","O60488","27842066","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","LPCAT3","HGNC:30244","ENSG00000111684","_NA_","Knockdown of Lpcat3 increased resistance to ferroptosis triggered by RSL3.","Mice","LPCAT3 :+: Ferroptosis","Validated",0,"_NA_","Q6P1A2","27842066","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ALOX15","HGNC:433","ENSG00000161905","_NA_","Liproxstatin-1 inhibited the 15-LOX enzymatic activity and suppressed ferroptosis.","Mice","ALOX15 :+: PE, PE :+: Ferroptosis","Validated",0,"_NA_","P16050","27842066","15-LOX in article",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ACSL4","HGNC:3571","ENSG00000068366","_NA_","An essential proferroptotic gene. Re-expression of Flag-tagged human wild-type (WT) ACSL4 (ACSL4-Flag) in Acsl4 KO Pfa1 cells restored full sensitivity to ferroptosis induction. Inhibition showed significantly prolonged survival compared to vehicle-treated mice.","Human, mice","ACSL4 :+: Ferroptosis","Validated",0,"_NA_","O60488","27842070","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","KEAP1","HGNC:23177","ENSG00000079999","_NA_","Keap 1 silencing decreased ferroptosis.","Mice","KEAP1 :-: NFE2L2, NFE2L2 :-: Ferroptosis","Validated",0,"_NA_","Q14145","28012440","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","EGFR","HGNC:3236","ENSG00000146648","_NA_","Cell death in activated EGFR mutant cells occurs by ferroptosis. Inhibiting EGFR and MAPK signaling rescued cell viability following cystine withdrawal.","Human","EGFR :+: MAPK, MAPK :+: Ferroptosis","Validated",0,"_NA_","P00533","28297659","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","NOX4","HGNC:7891","ENSG00000086991","_NA_","Inhibition of NADPH oxidase 4 (NOX4) blocked ferroptosis.","Human","NOX4 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Validated",0,"_NA_","Q9NPH5","28297659","_NA_",2020-12-31,"FerrDb team","gene with protein product"
