id,rcd,symbol,hgncid,ensgstable,evidence,testin,pathway,confidence,experiments,caution,uniprotac,pmid,remark,latestupdate,datasource,uniformgenetype
16,Ferroptosis,LOC284561,_NA_,_NA_,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,LOC284561 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,_NA_,24844246,Not found in HGNC. May promote ferroptosis.,2022/3/9,FerrDb team,unknown
17,Ferroptosis,ASNS,HGNC:753,ENSG00000070669,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,ASNS :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,P08243,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
18,Ferroptosis,TSC22D3,HGNC:3051,ENSG00000157514,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,TSC22D3 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,Q99576,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
19,Ferroptosis,DDIT3,HGNC:2726,ENSG00000175197,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,DDIT3 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,P0DPQ6,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
20,Ferroptosis,JDP2,HGNC:17546,ENSG00000140044,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,JDP2 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,Q8WYK2,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
21,Ferroptosis,SESN2,HGNC:20746,ENSG00000130766,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,SESN2 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,P58004,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
22,Ferroptosis,SLC1A4,HGNC:10942,ENSG00000115902,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,SLC1A4 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,P43007,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
23,Ferroptosis,PCK2,HGNC:8725,ENSG00000100889,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,PCK2 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,Q16822,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
24,Ferroptosis,TXNIP,HGNC:16952,ENSG00000265972,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,TXNIP :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,Q9H3M7,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
25,Ferroptosis,VLDLR,HGNC:12698,ENSG00000147852,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,VLDLR :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,P98155,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
26,Ferroptosis,GPT2,HGNC:18062,ENSG00000166123,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,GPT2 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,Q8TD30,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
27,Ferroptosis,PSAT1,HGNC:19129,ENSG00000135069,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,PSAT1 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,Q9Y617,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
28,Ferroptosis,LURAP1L,HGNC:31452,ENSG00000153714,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,LURAP1L :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,Q8IV03,24844246,C9ORF150 in article. May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
29,Ferroptosis,SLC7A5,HGNC:11063,ENSG00000103257,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,SLC7A5 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,Q01650,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
30,Ferroptosis,HERPUD1,HGNC:13744,ENSG00000051108,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,HERPUD1 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,Q15011,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
31,Ferroptosis,XBP1,HGNC:12801,ENSG00000100219,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,XBP1 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,P17861,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
32,Ferroptosis,ATF3,HGNC:785,ENSG00000162772,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,ATF3 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,P18847,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
33,Ferroptosis,SLC3A2,HGNC:11026,ENSG00000168003,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,SLC3A2 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,P08195,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
34,Ferroptosis,CBS,HGNC:1550,ENSG00000160200,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,CBS :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,P35520,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
35,Ferroptosis,ATF4,HGNC:786,ENSG00000128272,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,ATF4 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,P18848,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
36,Ferroptosis,ZNF419,HGNC:20648,ENSG00000105136,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,ZNF419 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,Q96HQ0,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
37,Ferroptosis,KLHL24,HGNC:25947,ENSG00000114796,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,KLHL24 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,Q6TFL4,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
38,Ferroptosis,TRIB3,HGNC:16228,ENSG00000101255,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,TRIB3 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,Q96RU7,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
39,Ferroptosis,ZFP69B,HGNC:28053,ENSG00000187801,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,ZFP69B :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,Q9UJL9,24844246,ZNF643 in article. May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
40,Ferroptosis,ATP6V1G2,HGNC:862,ENSG00000213760,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,ATP6V1G2 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,O95670,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
41,Ferroptosis,VEGFA,HGNC:12680,ENSG00000112715,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,VEGFA :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,P15692,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
42,Ferroptosis,GDF15,HGNC:30142,ENSG00000130513,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,GDF15 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,Q99988,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
43,Ferroptosis,TUBE1,HGNC:20775,ENSG00000074935,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,TUBE1 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,Q9UJT0,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
44,Ferroptosis,ARRDC3,HGNC:29263,ENSG00000113369,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,ARRDC3 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,Q96B67,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
45,Ferroptosis,CEBPG,HGNC:1837,ENSG00000153879,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,CEBPG :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,P53567,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
46,Ferroptosis,SNORA16A,HGNC:32605,ENSG00000274582,Down-regulated (>= 2 fold) in erastin-treated samples.,Human,SNORA16A :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,_NA_,24844246,May inhibit ferroptosis.,2022/3/9,FerrDb team,"RNA, small nucleolar"
47,Ferroptosis,RGS4,HGNC:10000,ENSG00000117152,Down-regulated (>= 2 fold) in erastin-treated samples.,Human,RGS4 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,P49798,24844246,May inhibit ferroptosis.,2022/3/9,FerrDb team,gene with protein product
48,Ferroptosis,BLOC1S5-TXNDC5,HGNC:42001,ENSG00000259040,Down-regulated (>= 2 fold) in erastin-treated samples.,Human,BLOC1S5-TXNDC5 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,_NA_,24844246,MUTED-TXNDC5 in article. May inhibit ferroptosis.,2022/3/9,FerrDb team,readthrough
49,Ferroptosis,LOC390705,_NA_,_NA_,Down-regulated (>= 2 fold) in erastin-treated samples.,Human,LOC390705 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,_NA_,24844246,Not found in HGNC. May inhibit ferroptosis.,2022/3/9,FerrDb team,unknown
50,Ferroptosis,EIF2S1,HGNC:3265,ENSG00000134001,Phosphorylated in erastin-treated sample.,Human,EIF2S1 :?: Ferroptosis,Deduced,0,_NA_,P05198,24844246,eIF2alpha in article. May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
51,Ferroptosis,KIM-1,_NA_,_NA_,Down-regulated upon Fer-1 appearance,Mice,KIM-1 :?: Ferroptosis,Deduced,0,_NA_,_NA_,25385600,Not found in HGNC. May promote ferroptosis.,2022/3/9,FerrDb team,unknown
52,Ferroptosis,IL6,HGNC:6018,ENSG00000136244,Down-regulated upon Fer-1 appearance,Mice,IL6 :?: Ferroptosis,Deduced,0,_NA_,P05231,25385600,IL-6 in article. May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
53,Ferroptosis,CXCL2,HGNC:4603,ENSG00000081041,Down-regulated upon Fer-1 appearance,Mice,CXCL2 :?: Ferroptosis,Deduced,0,_NA_,P19875,25385600,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
54,Ferroptosis,RELA,HGNC:9955,ENSG00000173039,Down-regulated upon Fer-1 appearance,Mice,RELA :?: Ferroptosis,Deduced,0,_NA_,Q04206,25385600,p65 in article. May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
55,Ferroptosis,HSD17B11,HGNC:22960,ENSG00000198189,Enriched in RSL3-resistant cells.,Human,HSD17B11 :?: Ferroptosis,Screened,0,_NA_,Q8NBQ5,25965523,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
56,Ferroptosis,AGPAT3,HGNC:326,ENSG00000160216,Enriched in RSL3-resistant cells.,Human,AGPAT3 :?: Ferroptosis,Screened,0,_NA_,Q9NRZ7,25965523,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
57,Ferroptosis,SETD1B,HGNC:29187,ENSG00000139718,Enriched in GPX4 inhibitor ML162-resistant cells.,Human,SETD1B :?: Ferroptosis,Screened,0,_NA_,Q9UPS6,25965523,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
58,Ferroptosis,HMOX1,HGNC:5013,ENSG00000100292,"Its expression increased in response to artesunate-induced ferroptosis, indicating activation of ROS-mediated signaling pathways.",Human,HMOX1 :?: Ferroptosis,Deduced,0,_NA_,P09601,26097885,HO-1 in article. May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
59,Ferroptosis,TF,HGNC:11740,ENSG00000091513,Its expression is decreased in patients.,Human,TF :?: Ferroptosis,Deduced,0,_NA_,P02787,26097885,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
60,Ferroptosis,FTL,HGNC:3999,ENSG00000087086,Its expression  is decreased in patients.,Human,FTL :?: Ferroptosis,Deduced,0,_NA_,P02792,26097885,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
61,Ferroptosis,RPL8,HGNC:10368,ENSG00000161016,Significantly reduced in tumor tissues,Human,RPL8 :?: Ferroptosis,Deduced,0,_NA_,P62917,26097885,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
62,Ferroptosis,ATP5MC3,HGNC:843,ENSG00000154518,Significantly reduced in tumor tissues,Human,ATP5MC3 :?: Ferroptosis,Deduced,0,_NA_,P48201,26097885,ATP5G3 in article. May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
63,Ferroptosis,TFRC,HGNC:11763,ENSG00000072274,Expression of this gene is increased in patients.,Human,TFRC :?: Ferroptosis,Deduced,0,_NA_,P02786,26097885,May inhibit ferroptosis.,2022/3/9,FerrDb team,gene with protein product
64,Ferroptosis,MAFG,HGNC:6781,ENSG00000197063,The interaction between NRF2 and MafG was increased in response to erastin and sorafenib.,"Human, mice",MAFG :?: Ferroptosis,Deduced,0,_NA_,O15525,26403645,May inhibit ferroptosis.,2022/3/9,FerrDb team,gene with protein product
65,Ferroptosis,IL33,HGNC:16028,ENSG00000137033,"IL-33 upregulation is a feature of ferroptosis. Ferrostatin-1, an inhibitor of ferroptosis, prevented the upregulation of IL-33.",Mice,IL33 :?: Ferroptosis,Deduced,0,_NA_,O95760,27352622,IL-33 in article. May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
66,Ferroptosis,FTH1,HGNC:3976,ENSG00000167996,An increase of endogenous FTH1 level during ferroptosis. Degradation of FTH1 protein upon ferroptosis induction.,Human,FTH1 :?: Ferroptosis,Validated,0,"An error may exist in the original article, where the authors wrote ""ferritin light chain 1 (FTH1)"". According to HGNC, FTH1 is the official symbol for ""ferritin heavy chain 1"".",P02794,27514700,_NA_,2022/3/9,FerrDb team,gene with protein product
67,Ferroptosis,HAMP,HGNC:15598,ENSG00000105697,Erastin-induced mRNA expression is downregulated in FANCD2-deficient cells.,Mice,HAMP :?: Ferroptosis,Deduced,0,_NA_,P81172,27773819,May inhibit ferroptosis.,2022/3/9,FerrDb team,gene with protein product
68,Ferroptosis,STEAP3,HGNC:24592,ENSG00000115107,Erastin-induced mRNA expression is downregulated in FANCD2-deficient cells.,Mice,STEAP3 :?: Ferroptosis,Deduced,0,_NA_,Q658P3,27773819,May inhibit ferroptosis.,2022/3/9,FerrDb team,gene with protein product
69,Ferroptosis,DRD5,HGNC:3026,ENSG00000169676,Ferroptotic erastin induces DRD5 gene expression in ferroptosis.,Human,DRD5 :?: Ferroptosis,Deduced,0,_NA_,P21918,27793671,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
70,Ferroptosis,GPX4,HGNC:4556,ENSG00000167468,Erastin promoted GPX4 degradation. Antiferroptotic dopamine increased the protein stability of glutathione peroxidase 4.,Human,GPX4 :?: Ferroptosis,Deduced,0,Has been proved to be a suppressor (PMID 25824823).,P36969,27793671,May inhibit ferroptosis.,2022/3/9,FerrDb team,gene with protein product
71,Ferroptosis,DRD4,HGNC:3025,ENSG00000069696,Antiferroptotic dopamine suppressed dopamine receptor D4 protein degradation. Ferroptotic erastin promotes DRD4 protein degradation.,Human,DRD4 :?: Ferroptosis,Deduced,0,_NA_,P21917,27793671,May inhibit ferroptosis.,2022/3/9,FerrDb team,gene with protein product
72,Ferroptosis,MAP3K5,HGNC:6857,ENSG00000197442,"Cold stress evokes ferroptosis, and the ASK1‐p38 pathway is activated downstream of lipid peroxide, leading to the cell death. ASK1‐p38 axis is also activated in the erastin‐induced ferroptosis model.",Human,MAP3K5 :?: Ferroptosis,Deduced,0,_NA_,Q99683,28887319,ASK1 in article. May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
73,Ferroptosis,MAPK14,HGNC:6876,ENSG00000112062,"Cold stress evokes ferroptosis, and the ASK1‐p38 pathway is activated downstream of lipid peroxide, leading to the cell death. ASK1‐p38 axis is also activated in the erastin‐induced ferroptosis model.",Human,MAPK14 :?: Ferroptosis,Deduced,0,_NA_,Q16539,28887319,p38 in article. May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
74,Ferroptosis,SLC2A1,HGNC:11005,ENSG00000117394,Increased at LSH overexpression. Decreased at LSH knockdown. LSH can inhibit ferroptosis.,Human,SLC2A1 :?: Ferroptosis,Deduced,0,_NA_,P11166,28900510,GLUT1 in article. May inhibit ferroptosis.,2022/3/9,FerrDb team,gene with protein product
75,Ferroptosis,SLC2A3,HGNC:11007,ENSG00000059804,Decreased at LSH knockdown. LSH can inhibit ferroptosis.,Human,SLC2A3 :?: Ferroptosis,Deduced,0,_NA_,P11169,28900510,GLUT3 in article. May inhibit ferroptosis.,2022/3/9,FerrDb team,gene with protein product
76,Ferroptosis,SLC2A6,HGNC:11011,ENSG00000160326,Increased at LSH overexpression. Decreased at LSH knockdown. LSH can inhibit ferroptosis.,Human,SLC2A6 :?: Ferroptosis,Deduced,0,_NA_,Q9UGQ3,28900510,GLUT6 in article. May inhibit ferroptosis.,2022/3/9,FerrDb team,gene with protein product
77,Ferroptosis,SLC2A8,HGNC:13812,ENSG00000136856,Decreased at LSH knockdown. LSH can inhibit ferroptosis.,Human,SLC2A8 :?: Ferroptosis,Deduced,0,_NA_,Q9NY64,28900510,GLUT8 in article. May inhibit ferroptosis.,2022/3/9,FerrDb team,gene with protein product
78,Ferroptosis,SLC2A12,HGNC:18067,ENSG00000146411,Increased at LSH overexpression. Decreased at LSH knockdown. LSH can inhibit ferroptosis.,Human,SLC2A12 :?: Ferroptosis,Deduced,0,_NA_,Q8TD20,28900510,GLUT12 in article. May inhibit ferroptosis.,2022/3/9,FerrDb team,gene with protein product
79,Ferroptosis,GLUT13,_NA_,_NA_,Increased at LSH overexpression. Decreased at LSH knockdown. LSH can inhibit ferroptosis.,Human,GLUT13 :?: Ferroptosis,Deduced,0,_NA_,_NA_,28900510,Not found in HGNC. May inhibit ferroptosis.,2022/3/9,FerrDb team,unknown
80,Ferroptosis,SLC2A14,HGNC:18301,ENSG00000173262,Decreased at LSH knockdown. LSH can inhibit ferroptosis.,Human,SLC2A14 :?: Ferroptosis,Deduced,0,_NA_,Q8TDB8,28900510,GLUT14 in article. May inhibit ferroptosis.,2022/3/9,FerrDb team,gene with protein product
81,Ferroptosis,EIF2AK4,HGNC:19687,ENSG00000128829,CHAC1 degradation of GSH enhances cystine-starvation-induced ferroptosis through the activated GCN2-eIF2 alpha-ATF4 pathway.,Human,EIF2AK4 :?: Ferroptosis,Deduced,0,_NA_,Q9P2K8,29383104,GCN2 in article. May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
82,Ferroptosis,EIF2S1,HGNC:3265,ENSG00000134001,CHAC1 degradation of GSH enhances cystine-starvation-induced ferroptosis through the activated GCN2-eIF2 alpha-ATF4 pathway.,Human,EIF2S1 :?: Ferroptosis,Deduced,0,_NA_,P05198,29383104,eIF2alpha in article. May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
83,Ferroptosis,ATF4,HGNC:786,ENSG00000128272,CHAC1 degradation of GSH enhances cystine-starvation-induced ferroptosis through the activated GCN2-eIF2 alpha-ATF4 pathway.,Human,ATF4 :?: Ferroptosis,Deduced,0,_NA_,P18848,29383104,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
84,Ferroptosis,ALOX5,HGNC:435,ENSG00000012779,Overexpression sensitizes cells to ferroptosis.,Human,ALOX5 :?: Ferroptosis,Deduced,0,Not essential but may play a role in ferroptotis initiation.,P09917,29632885,5-LOX in article,2022/3/9,FerrDb team,gene with protein product
85,Ferroptosis,ALOX12,HGNC:429,ENSG00000108839,Overexpression sensitizes cells to ferroptosis.,Human,ALOX12 :?: Ferroptosis,Deduced,0,Not essential but may play a role in ferroptotis initiation.,P18054,29632885,p12-LOX in article,2022/3/9,FerrDb team,gene with protein product
86,Ferroptosis,ALOX15,HGNC:433,ENSG00000161905,Overexpression sensitizes cells to ferroptosis.,Human,ALOX15 :?: Ferroptosis,Deduced,0,Not essential but may play a role in ferroptotis initiation.,P16050,29632885,15-LOX-1 in article,2022/3/9,FerrDb team,gene with protein product
87,Ferroptosis,ALOX5,HGNC:435,ENSG00000012779,Necessary for hemin‐induced ferroptosis in vitro.,Mice,ALOX5 :?: Ferroptosis,Deduced,0,_NA_,P09917,30294906,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
88,Ferroptosis,ACSF2,HGNC:26101,ENSG00000167107,Increased in ferroptotic events. Decreased in DFO-induced resistance to ferroptosis.,Rat,ACSF2 :?: Ferroptosis,Deduced,0,_NA_,Q96CM8,30539824,There is a corrigendum for this article. May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
89,Ferroptosis,IREB2,HGNC:6115,ENSG00000136381,Increased in ferroptotic events. Decreased in DFO-induced resistance to ferroptosis.,Rat,IREB2 :?: Ferroptosis,Deduced,0,_NA_,P48200,30539824,There is a corrigendum for this article. May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
90,Ferroptosis,HMGB1,HGNC:4983,ENSG00000189403,Associated with ferroptotic cell death. Ferroptosis activators induce HMGB1 release.,"Human, mice",HMGB1 :?: Ferroptosis,Deduced,0,_NA_,P09429,30686534,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
91,Ferroptosis,HMOX1,HGNC:5013,ENSG00000100292,Required for DOX-induced ferroptosis.,Mice,HMOX1 :?: Ferroptosis,Deduced,0,_NA_,P09601,30692261,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
92,Ferroptosis,NFE2L2,HGNC:7782,ENSG00000116044,DOX treatment induced ferroptosis. Protein and mRNA levels of Nrf2 were increased after DOX treatment.,Mice,NFE2L2 :?: Ferroptosis,Deduced,0,_NA_,Q16236,30692261,NRF2 in article.,2022/3/9,FerrDb team,gene with protein product
93,Ferroptosis,ELAVL1,HGNC:3312,ENSG00000066044,Binds to and increases the expression of the negative ferroptosis regulator LINC00336.,Human,ELAVL1 :?: Ferroptosis,Deduced,0,_NA_,Q15717,30787392,May inhibit ferroptosis.,2022/3/9,FerrDb team,gene with protein product
