,unique_id,target_id,regulator_id,disease_id,drug_id,unique_id,Regulation,drug2ferroptosis,drug2regulator,drug2target,regulator to target gene,regulator2ferroptosis,target_role4ferroptosis,Vivo model,ReferenceID,disease_detail_icd,disease_detail,in_vitro,Cell Line,pathway_id,Cell_progress
11,unique01630,P02794,P56270,ICD-11: 2A00,Dihydroartemisinin,unique01630,"Dihydroartemisinin (DHA) could promote ferroptosis in glioma cells. Low expression of GPX4 and high expression of HMOX1 were identified in DHA treated glioma cells. MAZ was further identified as the direct target of long noncoding RNA (lncRNA) TUG1 through luciferase assay. Downregulated expression of TUG1 and upregulated expression of MAZ were identified in DHA treated glioma cells. TUG1 overexpression or inhibition of FTH1 expression could enhance the antiglioma effect of DHA in vitro and in vivo, providing a promising strategy to enhance the antitumor effect of DHA in glioma.",Inducer,Up regulation,Up regulation,Up regulation,Driver,Marker,"All BALB/C nude mice were purchased from Huafukang Biotechnology (Beijing, China). These mice were 5 weeks old and weighed 14-16 g. We established subcutaneous tumour-forming mouse model by injecting 5 x 10<sup>6</sup> U87 cells into the lateral abdomen of BALB/C nude mice. Animals were then treated with DHA solvent (50 mg/kg) by intragastric administration once a day for 26 days.",REF000843,ICD-11: 2A00,Glioma,CELL00295; CELL00043,U87; U251,Ferroptosis (hsa04216),Cell ferroptosis
12,unique01629,P02794,ENSG00000253352,ICD-11: 2A00,Dihydroartemisinin,unique01629,"Dihydroartemisinin (DHA) could promote ferroptosis in glioma cells. Low expression of GPX4 and high expression of HMOX1 were identified in DHA treated glioma cells. MAZ was further identified as the direct target of long noncoding RNA (lncRNA) TUG1 through luciferase assay. Downregulated expression of TUG1 and upregulated expression of MAZ were identified in DHA treated glioma cells. TUG1 overexpression or inhibition of FTH1 expression could enhance the antiglioma effect of DHA in vitro and in vivo, providing a promising strategy to enhance the antitumor effect of DHA in glioma.",Inducer,Down regulation,Up regulation,Down regulation,Suppressor,Marker,"All BALB/C nude mice were purchased from Huafukang Biotechnology (Beijing, China). These mice were 5 weeks old and weighed 14-16 g. We established subcutaneous tumour-forming mouse model by injecting 5 x 10<sup>6</sup> U87 cells into the lateral abdomen of BALB/C nude mice. Animals were then treated with DHA solvent (50 mg/kg) by intragastric administration once a day for 26 days.",REF000843,ICD-11: 2A00,Glioma,CELL00295; CELL00043,U87; U251,Ferroptosis (hsa04216),Cell ferroptosis
13,unique01629,P02794,ENSG00000253352,ICD-11: 2A00,Dihydroartemisinin,unique01629,"Dihydroartemisinin (DHA) could promote ferroptosis in glioma cells. Low expression of GPX4 and high expression of HMOX1 were identified in DHA treated glioma cells. MAZ was further identified as the direct target of long noncoding RNA (lncRNA) TUG1 through luciferase assay. Downregulated expression of TUG1 and upregulated expression of MAZ were identified in DHA treated glioma cells. TUG1 overexpression or inhibition of FTH1 expression could enhance the antiglioma effect of DHA in vitro and in vivo, providing a promising strategy to enhance the antitumor effect of DHA in glioma.",Inducer,Down regulation,Up regulation,Down regulation,Suppressor,Marker,"All BALB/C nude mice were purchased from Huafukang Biotechnology (Beijing, China). These mice were 5 weeks old and weighed 14-16 g. We established subcutaneous tumour-forming mouse model by injecting 5 x 10<sup>6</sup> U87 cells into the lateral abdomen of BALB/C nude mice. Animals were then treated with DHA solvent (50 mg/kg) by intragastric administration once a day for 26 days.",REF000843,ICD-11: 2A00,Glioma,CELL00295; CELL00043,U87; U251,Ferroptosis (hsa04216),Cell ferroptosis
14,unique00079,P02794,O95352,ICD-11: 2A00,Amentoflavone,unique00079,"Amentoflavone (AF) triggered ferroptosis in autophagy-dependent manner. Furthermore, the expression of LC3B, Beclin1, ATG5, ATG7 were increased, and the expression of FTH were decreased by AF in a dose-dependent manner in vivo. AF has the potential to be considered as a novel treatment agent in glioma.",Inducer,Up regulation,Down regulation,Down regulation,Driver,Marker/Suppressor,"1 x 10<sup>7</sup> U251 cells were subcutaneously injected into the right back of the four-week-old BALB/c nude mice. After the tumor grown to 100 mm<sup>3</sup>, mice were randomly divided into 3 groups: mice in control group receivedintraperitoneal injectionof saline, while mice in AF treatment group received intraperitoneal injection at dosages of 40 mg/kg/day or 80 mg/kg/day, respectively.",REF000134,ICD-11: 2A00,Glioma,CELL00043; CELL00243,U251; U373,mTOR signaling pathway (hsa04150); Fatty acid metabolism (hsa01212); Autophagy (hsa04140),Cell ferroptosis; Cell autophagy; Cell proliferation
15,unique00079,P02794,O95352,ICD-11: 2A00,Amentoflavone,unique00079,"Amentoflavone (AF) triggered ferroptosis in autophagy-dependent manner. Furthermore, the expression of LC3B, Beclin1, ATG5, ATG7 were increased, and the expression of FTH were decreased by AF in a dose-dependent manner in vivo. AF has the potential to be considered as a novel treatment agent in glioma.",Inducer,Up regulation,Down regulation,Down regulation,Driver,Marker/Suppressor,"1 x 10<sup>7</sup> U251 cells were subcutaneously injected into the right back of the four-week-old BALB/c nude mice. After the tumor grown to 100 mm<sup>3</sup>, mice were randomly divided into 3 groups: mice in control group receivedintraperitoneal injectionof saline, while mice in AF treatment group received intraperitoneal injection at dosages of 40 mg/kg/day or 80 mg/kg/day, respectively.",REF000134,ICD-11: 2A00,Glioma,CELL00043; CELL00243,U251; U373,mTOR signaling pathway (hsa04150); Fatty acid metabolism (hsa01212); Autophagy (hsa04140),Cell ferroptosis; Cell autophagy; Cell proliferation
16,unique00078,P02794,Q9H1Y0,ICD-11: 2A00,Amentoflavone,unique00078,"Amentoflavone (AF) triggered ferroptosis in autophagy-dependent manner. Furthermore, the expression of LC3B, Beclin1, ATG5, ATG7 were increased, and the expression of FTH were decreased by AF in a dose-dependent manner in vivo. AF has the potential to be considered as a novel treatment agent in glioma.",Inducer,Up regulation,Down regulation,Down regulation,Driver,Marker/Suppressor,"1 x 10<sup>7</sup> U251 cells were subcutaneously injected into the right back of the four-week-old BALB/c nude mice. After the tumor grown to 100 mm<sup>3</sup>, mice were randomly divided into 3 groups: mice in control group receivedintraperitoneal injectionof saline, while mice in AF treatment group received intraperitoneal injection at dosages of 40 mg/kg/day or 80 mg/kg/day, respectively.",REF000134,ICD-11: 2A00,Glioma,CELL00043; CELL00243,U251; U373,mTOR signaling pathway (hsa04150); Fatty acid metabolism (hsa01212); Autophagy (hsa04140),Cell ferroptosis; Cell autophagy; Cell proliferation
17,unique00078,P02794,Q9H1Y0,ICD-11: 2A00,Amentoflavone,unique00078,"Amentoflavone (AF) triggered ferroptosis in autophagy-dependent manner. Furthermore, the expression of LC3B, Beclin1, ATG5, ATG7 were increased, and the expression of FTH were decreased by AF in a dose-dependent manner in vivo. AF has the potential to be considered as a novel treatment agent in glioma.",Inducer,Up regulation,Down regulation,Down regulation,Driver,Marker/Suppressor,"1 x 10<sup>7</sup> U251 cells were subcutaneously injected into the right back of the four-week-old BALB/c nude mice. After the tumor grown to 100 mm<sup>3</sup>, mice were randomly divided into 3 groups: mice in control group receivedintraperitoneal injectionof saline, while mice in AF treatment group received intraperitoneal injection at dosages of 40 mg/kg/day or 80 mg/kg/day, respectively.",REF000134,ICD-11: 2A00,Glioma,CELL00043; CELL00243,U251; U373,mTOR signaling pathway (hsa04150); Fatty acid metabolism (hsa01212); Autophagy (hsa04140),Cell ferroptosis; Cell autophagy; Cell proliferation
18,unique00080,P02794,Q9GZQ8,ICD-11: 2A00,Amentoflavone,unique00080,"Amentoflavone (AF) triggered ferroptosis in autophagy-dependent manner. Furthermore, the expression of LC3B, Beclin1, ATG5, ATG7 were increased, and the expression of FTH were decreased by AF in a dose-dependent manner in vivo. AF has the potential to be considered as a novel treatment agent in glioma.",Inducer,Up regulation,Down regulation,Down regulation,Driver,Marker/Suppressor,"1 x 10<sup>7</sup> U251 cells were subcutaneously injected into the right back of the four-week-old BALB/c nude mice. After the tumor grown to 100 mm<sup>3</sup>, mice were randomly divided into 3 groups: mice in control group receivedintraperitoneal injectionof saline, while mice in AF treatment group received intraperitoneal injection at dosages of 40 mg/kg/day or 80 mg/kg/day, respectively.",REF000134,ICD-11: 2A00,Glioma,CELL00043; CELL00243,U251; U373,mTOR signaling pathway (hsa04150); Fatty acid metabolism (hsa01212); Autophagy (hsa04140),Cell ferroptosis; Cell autophagy; Cell proliferation
19,unique00080,P02794,Q9GZQ8,ICD-11: 2A00,Amentoflavone,unique00080,"Amentoflavone (AF) triggered ferroptosis in autophagy-dependent manner. Furthermore, the expression of LC3B, Beclin1, ATG5, ATG7 were increased, and the expression of FTH were decreased by AF in a dose-dependent manner in vivo. AF has the potential to be considered as a novel treatment agent in glioma.",Inducer,Up regulation,Down regulation,Down regulation,Driver,Marker/Suppressor,"1 x 10<sup>7</sup> U251 cells were subcutaneously injected into the right back of the four-week-old BALB/c nude mice. After the tumor grown to 100 mm<sup>3</sup>, mice were randomly divided into 3 groups: mice in control group receivedintraperitoneal injectionof saline, while mice in AF treatment group received intraperitoneal injection at dosages of 40 mg/kg/day or 80 mg/kg/day, respectively.",REF000134,ICD-11: 2A00,Glioma,CELL00043; CELL00243,U251; U373,mTOR signaling pathway (hsa04150); Fatty acid metabolism (hsa01212); Autophagy (hsa04140),Cell ferroptosis; Cell autophagy; Cell proliferation
20,unique01630,P02794,P56270,ICD-11: 2A00,Dihydroartemisinin,unique01630,"Dihydroartemisinin (DHA) could promote ferroptosis in glioma cells. Low expression of GPX4 and high expression of HMOX1 were identified in DHA treated glioma cells. MAZ was further identified as the direct target of long noncoding RNA (lncRNA) TUG1 through luciferase assay. Downregulated expression of TUG1 and upregulated expression of MAZ were identified in DHA treated glioma cells. TUG1 overexpression or inhibition of FTH1 expression could enhance the antiglioma effect of DHA in vitro and in vivo, providing a promising strategy to enhance the antitumor effect of DHA in glioma.",Inducer,Up regulation,Up regulation,Up regulation,Driver,Marker,"All BALB/C nude mice were purchased from Huafukang Biotechnology (Beijing, China). These mice were 5 weeks old and weighed 14-16 g. We established subcutaneous tumour-forming mouse model by injecting 5 x 10<sup>6</sup> U87 cells into the lateral abdomen of BALB/C nude mice. Animals were then treated with DHA solvent (50 mg/kg) by intragastric administration once a day for 26 days.",REF000843,ICD-11: 2A00,Glioma,CELL00295; CELL00043,U87; U251,Ferroptosis (hsa04216),Cell ferroptosis
21,unique01630,P02794,P56270,ICD-11: 2A00,Dihydroartemisinin,unique01630,"Dihydroartemisinin (DHA) could promote ferroptosis in glioma cells. Low expression of GPX4 and high expression of HMOX1 were identified in DHA treated glioma cells. MAZ was further identified as the direct target of long noncoding RNA (lncRNA) TUG1 through luciferase assay. Downregulated expression of TUG1 and upregulated expression of MAZ were identified in DHA treated glioma cells. TUG1 overexpression or inhibition of FTH1 expression could enhance the antiglioma effect of DHA in vitro and in vivo, providing a promising strategy to enhance the antitumor effect of DHA in glioma.",Inducer,Up regulation,Up regulation,Up regulation,Driver,Marker,"All BALB/C nude mice were purchased from Huafukang Biotechnology (Beijing, China). These mice were 5 weeks old and weighed 14-16 g. We established subcutaneous tumour-forming mouse model by injecting 5 x 10<sup>6</sup> U87 cells into the lateral abdomen of BALB/C nude mice. Animals were then treated with DHA solvent (50 mg/kg) by intragastric administration once a day for 26 days.",REF000843,ICD-11: 2A00,Glioma,CELL00295; CELL00043,U87; U251,Ferroptosis (hsa04216),Cell ferroptosis
22,unique01629,P02794,ENSG00000253352,ICD-11: 2A00,Dihydroartemisinin,unique01629,"Dihydroartemisinin (DHA) could promote ferroptosis in glioma cells. Low expression of GPX4 and high expression of HMOX1 were identified in DHA treated glioma cells. MAZ was further identified as the direct target of long noncoding RNA (lncRNA) TUG1 through luciferase assay. Downregulated expression of TUG1 and upregulated expression of MAZ were identified in DHA treated glioma cells. TUG1 overexpression or inhibition of FTH1 expression could enhance the antiglioma effect of DHA in vitro and in vivo, providing a promising strategy to enhance the antitumor effect of DHA in glioma.",Inducer,Down regulation,Up regulation,Down regulation,Suppressor,Marker,"All BALB/C nude mice were purchased from Huafukang Biotechnology (Beijing, China). These mice were 5 weeks old and weighed 14-16 g. We established subcutaneous tumour-forming mouse model by injecting 5 x 10<sup>6</sup> U87 cells into the lateral abdomen of BALB/C nude mice. Animals were then treated with DHA solvent (50 mg/kg) by intragastric administration once a day for 26 days.",REF000843,ICD-11: 2A00,Glioma,CELL00295; CELL00043,U87; U251,Ferroptosis (hsa04216),Cell ferroptosis
23,unique01629,P02794,ENSG00000253352,ICD-11: 2A00,Dihydroartemisinin,unique01629,"Dihydroartemisinin (DHA) could promote ferroptosis in glioma cells. Low expression of GPX4 and high expression of HMOX1 were identified in DHA treated glioma cells. MAZ was further identified as the direct target of long noncoding RNA (lncRNA) TUG1 through luciferase assay. Downregulated expression of TUG1 and upregulated expression of MAZ were identified in DHA treated glioma cells. TUG1 overexpression or inhibition of FTH1 expression could enhance the antiglioma effect of DHA in vitro and in vivo, providing a promising strategy to enhance the antitumor effect of DHA in glioma.",Inducer,Down regulation,Up regulation,Down regulation,Suppressor,Marker,"All BALB/C nude mice were purchased from Huafukang Biotechnology (Beijing, China). These mice were 5 weeks old and weighed 14-16 g. We established subcutaneous tumour-forming mouse model by injecting 5 x 10<sup>6</sup> U87 cells into the lateral abdomen of BALB/C nude mice. Animals were then treated with DHA solvent (50 mg/kg) by intragastric administration once a day for 26 days.",REF000843,ICD-11: 2A00,Glioma,CELL00295; CELL00043,U87; U251,Ferroptosis (hsa04216),Cell ferroptosis
24,unique00923,P36969,P11021,ICD-11: 2A00,Dihydroartemisinin,unique00923,"HSPA5 upregulation increased the expression and activity of glutathione peroxidase 4 (GPX4), which neutralized Dihydroartemisinin-induced lipid peroxidation and thus protected glioma cells from ferroptosis. Ferroptosis might be a novel anticancer mechanism of DHA in glioma and HSPA5 may serve as a negative regulator of DHA-induced ferroptosis.",Suppressor,Up regulation,Up regulation,Up regulation,Suppressor,Marker/Suppressor,"Specific pathogen-free athymic nude BALB/c mice (4-6 weeks old) were obtained from Guangdong Experimental Animal Centre (Guangzhou, China). To generate murine subcutaneous tumors, cells (for U251: 2 x 10<sup>6</sup> cells; for U373: 2 x 10<sup>6</sup> cells) were suspended in 0.2 ml PBS and injected into the flanks of mice (n = 6/group). Tumor volume was measured once every 3 days using calipers.",REF000091,ICD-11: 2A00,Glioma,CELL00043; CELL00243; CELL00549,U251; U373; HT22,Fatty acid metabolism (hsa01212); Ferroptosis (hsa04216); Apoptosis (hsa04210),Cell ferroptosis; Cell apoptosis; Cell proliferation
25,unique00923,P36969,P11021,ICD-11: 2A00,Dihydroartemisinin,unique00923,"HSPA5 upregulation increased the expression and activity of glutathione peroxidase 4 (GPX4), which neutralized Dihydroartemisinin-induced lipid peroxidation and thus protected glioma cells from ferroptosis. Ferroptosis might be a novel anticancer mechanism of DHA in glioma and HSPA5 may serve as a negative regulator of DHA-induced ferroptosis. ",Suppressor,Up regulation,Up regulation,Up regulation,Suppressor,Marker/Suppressor,"Specific pathogen-free athymic nude BALB/c mice (4-6 weeks old) were obtained from Guangdong Experimental Animal Centre (Guangzhou, China). To generate murine subcutaneous tumors, cells (for U251: 2 x 10<sup>6</sup> cells; for U373: 2 x 10<sup>6</sup> cells) were suspended in 0.2 ml PBS and injected into the flanks of mice (n = 6/group). Tumor volume was measured once every 3 days using calipers.",REF000091,ICD-11: 2A00,Glioma,CELL00043; CELL00243; CELL00549,U251; U373; HT22,Fatty acid metabolism (hsa01212); Ferroptosis (hsa04216); Apoptosis (hsa04210),Cell ferroptosis; Cell apoptosis; Cell proliferation
26,unique00070,P36969,P10275,ICD-11: 2A00,ALZ003,unique00070,"ALZ003 targeting AR for degradation strongly exhibits the therapeutic effect on glioblastoma, including TMZ-resistant tumor,in vitroandin vivo. Particularly, GPX4 was positively regulated by AR, and overexpression of AR also prevented lipid peroxidation.",Inducer,Down regulation,Down regulation,Up regulation,Suppressor,Suppressor,"NOD-SCID male mice (8-week-old) were purchased from BioLASCO Taiwan Co., Ltd. (Taipei, Taiwan). For glioblastoma and TMZ-resistant glioblastoma transplantation, luciferase-expressed U87MG cells (2 x 10<sup>5</sup>) and U87MG-R cells (2 x 10<sup>5</sup>) were injected into the cortex, respectively, at the depth of 3 mm using stereotactic guidance and microprocessor single syringe (Harvard Apparatus, Holliston, MA, USA). After 10 days of transplantation, TMZ (15 mg/kg) and ALZ003 were orally and intravenously administrated three times per week, respectively.",REF000120,ICD-11: 2A00,Glioblastoma,CELL00323; CELL00068,U87MG; A172,Fatty acid metabolism (hsa01212); Apoptosis (hsa04210); Ubiquitin mediated proteolysis (hsa04120),Cell ferroptosis; Cell apoptosis; Cell proliferation
